@relation 12168104L2_2

@attribute kwota_kredytu numeric
@attribute wiek numeric
@attribute płeć {kobieta,mężczyzna}
@attribute rodzaj_źródła_dochodu numeric
@attribute miesieczny_dochod_netto numeric
@attribute ktore_rolowanie numeric
@attribute okres_w_jakim_pobierał_dochód numeric
@attribute okres_w_jakim_będzie_pobierał_dochód numeric
@attribute opóźnienie_spłaty numeric

@data
562.58,65,kobieta,13,930,0,124,48,1
700,38,kobieta,11,1900,0,201,48,9
200,73,kobieta,13,951,0,156,48,0
400,47,kobieta,11,3170,0,279,48,0
600,57,kobieta,11,2200,0,463,48,218
200,75,kobieta,13,616,0,240,48,0
400,53,mężczyzna,12,1917,0,38,38,0
500,29,kobieta,12,1447,0,15,23,2
300,30,mężczyzna,12,1600,0,4,12,1802
400,69,kobieta,13,1072,0,146,48,2
400,73,kobieta,13,1412,0,198,48,0
300,58,kobieta,13,1240,0,63,48,7
400,58,mężczyzna,17,485,0,137,48,2
400,38,kobieta,12,1000,0,6,39,1802
300,60,mężczyzna,11,3000,0,206,48,2
500,61,kobieta,13,1362,0,50,48,2
400,66,kobieta,13,919,0,135,48,7
500,31,mężczyzna,11,2700,0,9,48,0
600,36,mężczyzna,11,2316.55,0,34,48,1800
900,33,kobieta,11,2050,0,22,48,1
600,47,kobieta,12,830.46,0,39,48,0
400,36,kobieta,11,2478,0,151,48,1
500,60,kobieta,13,1212,0,47,48,0
200,57,kobieta,11,885,0,427,48,1800
400,28,mężczyzna,12,900,0,12,20,0
200,62,mężczyzna,13,1162,0,215,48,0
200,63,kobieta,13,918,0,96,48,23
200,49,mężczyzna,11,1400,0,8,48,0
600,69,kobieta,13,2291,0,64,48,4
200,57,kobieta,16,703,0,19,48,0
400,52,kobieta,11,1959.58,0,114,48,1799
300,33,mężczyzna,11,1800,0,159,48,0
200,77,kobieta,13,1239,0,264,48,25
500,21,mężczyzna,12,1200,0,3,17,0
200,62,kobieta,13,570,0,24,48,1799
200,50,kobieta,12,2000,0,28,48,0
600,58,kobieta,17,684,0,183,48,0
700,29,mężczyzna,12,1800,0,1,2,0
500,35,mężczyzna,12,1500,0,27,35,0
453.95,23,mężczyzna,99,980,0,5,6,0
300,29,mężczyzna,11,930,0,40,48,189
300,78,mężczyzna,13,724.11,0,186,48,524
250,57,mężczyzna,13,600,0,149,48,538
351.29,63,kobieta,13,1668,0,85,48,0
800,47,kobieta,11,5800,0,48,48,0
400,57,kobieta,12,1680,0,64,48,0
300,50,mężczyzna,11,1300,0,4,48,1798
300,56,kobieta,98,980,0,3,48,0
200,38,kobieta,99,2800,0,4,6,1
300,49,kobieta,11,2450,0,108,48,214
300,61,kobieta,13,997,0,73,48,0
800,55,kobieta,13,3440,0,45,48,4
200,71,mężczyzna,13,1426,0,71,48,0
700,42,mężczyzna,11,2258,0,69,48,0
400,55,kobieta,11,2800,0,3,48,0
600,60,kobieta,13,1149,0,75,48,405
800,60,mężczyzna,11,1000,0,57,48,0
500,50,mężczyzna,16,755,0,13,48,1797
300,58,kobieta,13,1735,0,48,48,0
700,72,mężczyzna,13,2802,0,241,48,2
200,53,kobieta,16,749.28,0,59,48,17
250,62,mężczyzna,13,1712,0,21,48,486
200,20,mężczyzna,17,985,0,7,11,0
250,60,kobieta,13,810,0,27,48,0
500,36,kobieta,12,1100,0,5,10,437
400,32,kobieta,12,1000,0,13,23,0
400,64,kobieta,13,1015,0,103,48,0
500,33,kobieta,11,1400,0,95,48,45
300,25,mężczyzna,12,1300,0,3,25,3
300,49,mężczyzna,13,3900,0,24,48,0
200,53,kobieta,16,655,0,25,48,0
300,47,mężczyzna,11,1717.08,0,71,48,339
400,56,mężczyzna,12,1600,0,28,48,0
400,36,kobieta,11,1400,0,81,48,17
200,47,kobieta,11,770,0,97,48,1
300,65,kobieta,13,900,0,123,48,500
500,54,mężczyzna,13,2800,0,144,48,1
400,62,kobieta,13,714,0,216,48,0
700,58,kobieta,13,1872,0,29,48,2
200,24,mężczyzna,12,1000,0,6,24,0
450,55,mężczyzna,16,588,0,416,48,0
500,49,kobieta,11,1800,0,47,48,2
300,61,kobieta,13,1170,0,72,48,2
200,46,mężczyzna,11,1360,0,113,48,0
200,78,kobieta,13,736,0,61,48,1
500,54,kobieta,16,1045.6,0,6,48,0
500,52,mężczyzna,11,3200,0,183,48,0
400,74,kobieta,13,1026,0,241,48,0
200,40,mężczyzna,12,1000,0,0,3,0
539.49,49,kobieta,11,1764,0,58,48,88
500,62,kobieta,13,1525.46,0,30,48,5
617.26,32,mężczyzna,11,2050,0,112,48,1
400,53,kobieta,11,1700,0,199,48,1
300,27,kobieta,12,1030,0,4,24,1795
200,43,kobieta,11,1400,0,19,48,0
200,72,kobieta,13,640,0,132,48,0
500,56,mężczyzna,13,1900,0,144,48,2
700,65,mężczyzna,13,3040,0,195,48,0
250,38,mężczyzna,12,1030,0,13,14,5
500,54,kobieta,16,1657,0,13,48,0
400,25,kobieta,17,1200,0,159,48,0
300,53,mężczyzna,11,1320,0,336,48,0
743.23,35,kobieta,98,4000,0,12,48,1
400,26,mężczyzna,12,1100,0,27,48,2
400,54,kobieta,12,1700,0,49,48,0
300,62,kobieta,13,1130,0,97,48,0
500,38,kobieta,12,2395,0,74,48,0
300,32,mężczyzna,12,1655.76,0,51,48,0
500,43,mężczyzna,98,3178,0,195,48,1
200,64,mężczyzna,13,744.16,0,110,48,243
200,57,mężczyzna,13,440,0,65,48,0
200,79,kobieta,13,1442.43,0,135,48,0
400,61,kobieta,13,1160,0,72,48,0
300,47,kobieta,11,1700,0,83,48,0
200,66,kobieta,13,910,0,63,48,0
600,58,mężczyzna,11,1510,0,160,48,0
350,68,mężczyzna,13,2000,0,38,48,4
400,59,kobieta,13,1400,0,48,48,0
400,52,kobieta,12,1040,0,12,19,0
500,52,mężczyzna,11,2011,0,205,48,5
500,54,mężczyzna,99,2063.38,0,191,48,0
300,45,mężczyzna,11,1400,0,135,48,206
300,50,kobieta,17,990,0,66,48,0
500,35,kobieta,11,2709.34,0,175,48,0
231.83,30,mężczyzna,12,1065,0,8,12,1791
300,60,kobieta,13,790,0,63,48,1791
300,68,kobieta,13,1017,0,155,48,0
300,59,mężczyzna,16,634,0,312,48,0
200,52,kobieta,12,1000,0,25,48,0
500,55,kobieta,13,841.17,0,13,48,503
200,72,kobieta,13,730,0,555,48,11
300,50,kobieta,12,1000,0,26,29,0
600,61,kobieta,13,1050,0,133,48,1
600,33,kobieta,11,2200,0,31,48,0
500,64,kobieta,13,958.25,0,85,48,0
300,70,kobieta,13,729.03,0,251,48,0
200,65,kobieta,13,670,0,60,48,0
300,60,mężczyzna,12,1000,0,6,10,0
400,29,mężczyzna,12,1300,0,21,41,0
400,42,mężczyzna,11,3500,0,22,48,3
200,54,mężczyzna,17,798.8,0,143,48,0
526.11,28,kobieta,99,468,0,5,10,2
200,60,kobieta,16,684.64,0,335,48,0
600,51,mężczyzna,12,2673.17,0,106,48,0
300,33,mężczyzna,11,2100,0,58,48,4
300,59,mężczyzna,16,726,0,227,48,2
300,28,kobieta,98,1000,0,7,48,299
500,43,kobieta,11,1443,0,27,48,0
600,51,kobieta,11,3200,0,48,48,9
600,58,kobieta,11,1400,0,157,48,5
200,47,mężczyzna,12,600,0,3,27,0
200,31,kobieta,12,980,0,4,5,1
300,32,mężczyzna,11,1040,0,48,48,326
500,54,mężczyzna,11,1552.16,0,92,48,0
500,49,kobieta,11,2470,0,348,48,0
600,61,mężczyzna,13,1500,0,17,48,0
300,52,mężczyzna,12,1000,0,3,5,0
200,65,kobieta,16,892,0,195,48,1
800,74,mężczyzna,13,2712,0,337,48,0
400,38,kobieta,11,1998.9,0,225,48,0
800,59,kobieta,13,1370,0,70,48,14
500,46,mężczyzna,12,2500,0,2,3,0
200,62,mężczyzna,13,1420.41,0,18,48,0
300,30,mężczyzna,11,1000,0,51,48,1
300,31,kobieta,12,2000,0,14,21,0
600,54,kobieta,12,1675,0,3,11,10
200,35,kobieta,12,1200,0,3,14,0
800,38,mężczyzna,11,2150,0,48,48,211
350,68,mężczyzna,13,1162.41,0,98,48,0
200,61,kobieta,13,634.64,0,6,48,0
300,60,kobieta,13,1026,0,49,48,0
300,59,kobieta,13,1400,0,240,48,0
300,27,kobieta,11,1500,0,18,48,8
310,21,mężczyzna,12,952.89,0,16,26,0
200,40,kobieta,17,485,0,121,48,292
300,54,kobieta,11,1721.7,0,114,48,0
400,71,kobieta,13,1721,0,191,48,0
400,61,kobieta,13,2066,0,123,48,0
300,73,mężczyzna,13,960,0,134,48,0
250,69,kobieta,13,1800,0,111,48,0
700,56,kobieta,13,580,0,113,48,0
400,29,mężczyzna,12,2050,0,54,48,0
600,47,kobieta,98,2200,0,19,48,0
500,42,mężczyzna,11,2100,0,278,48,14
500,63,mężczyzna,11,1660,0,44,48,0
500,80,kobieta,13,2000,0,229,48,0
300,64,kobieta,13,880,0,37,48,390
500,56,mężczyzna,12,1410,0,9,34,451
400,26,mężczyzna,11,2500,0,27,48,1
700,58,kobieta,13,1801.41,0,31,48,4
600,77,mężczyzna,13,2609,0,185,48,0
817.84,63,kobieta,13,860,0,74,48,2
200,51,mężczyzna,12,1030,0,3,48,2
400,39,kobieta,11,1239.05,0,198,48,3
500,31,kobieta,12,1600,0,8,11,5
400,60,kobieta,13,1425,0,73,48,4
500,52,kobieta,12,1500,0,20,32,0
200,57,mężczyzna,13,12220,0,65,48,0
800,62,kobieta,13,3700,0,21,48,3
200,60,kobieta,13,1635,0,114,48,0
200,70,kobieta,13,1769.91,0,191,48,10
900,48,kobieta,12,1500,0,8,26,7
600,56,mężczyzna,11,3335,0,427,48,0
200,40,kobieta,17,646,0,48,48,11
200,62,kobieta,13,1450,0,50,48,1781
300,59,kobieta,13,1658,0,23,48,0
500,57,kobieta,11,2249.14,0,235,48,2
500,42,mężczyzna,11,1700,0,246,48,0
400,68,kobieta,16,980,0,125,48,1
500,49,kobieta,11,2500,0,227,48,0
300,49,kobieta,11,992.84,0,115,48,0
500,62,kobieta,13,1900,0,82,48,0
200,45,mężczyzna,12,670,0,3,11,0
500,62,kobieta,13,962,0,60,48,3
400,54,kobieta,11,2800,0,54,48,0
200,50,kobieta,11,1577.42,0,200,48,0
300,38,kobieta,98,1200,0,40,48,0
300,53,kobieta,16,1740,0,108,48,10
200,50,mężczyzna,16,1045,0,194,48,0
400,39,kobieta,11,1200,0,8,48,0
400,61,mężczyzna,11,1250,0,60,48,0
310.02,50,kobieta,98,570,0,22,48,1777
600,35,kobieta,11,1065,0,54,48,4
400,51,mężczyzna,12,2100,0,15,40,284
700,55,kobieta,16,2300,0,57,48,0
400,53,kobieta,11,1300,0,29,48,4
300,56,kobieta,11,1187.06,0,128,48,0
300,63,kobieta,13,1100,0,100,48,0
300,69,mężczyzna,16,1100,0,132,48,0
600,47,mężczyzna,11,2500,0,198,48,3
300,66,mężczyzna,13,2110,0,96,48,0
300,69,mężczyzna,13,940,0,48,48,4
250,58,kobieta,13,1500,0,41,48,5
576.61,66,kobieta,13,650,0,68,48,2
600,54,kobieta,11,1300,0,62,48,5
300,39,kobieta,12,1027,0,3,48,0
300,33,kobieta,12,1000,0,2,5,1776
500,33,kobieta,12,1540,0,33,39,2
500,44,mężczyzna,12,2000,0,6,24,0
300,42,mężczyzna,12,1400,0,20,48,1774
565.98,72,kobieta,13,3541.9,0,121,48,4
500,62,kobieta,13,1200.29,0,17,48,0
400,40,kobieta,12,660,0,6,37,0
300,39,kobieta,11,1770,0,82,48,0
300,57,kobieta,11,1680,0,380,48,4
300,24,kobieta,17,640,0,5,8,2
235.97,66,kobieta,13,1428.55,0,131,48,3
200,25,mężczyzna,12,1660,0,8,26,3
700,35,mężczyzna,12,1500,0,28,35,0
450,56,kobieta,11,1600,0,372,48,527
200,75,kobieta,13,616,0,241,48,0
700,30,mężczyzna,11,2837,0,121,48,9
283.08,57,kobieta,13,782,0,187,48,3
300,30,mężczyzna,99,1500,0,6,7,1
400,22,mężczyzna,17,1896,0,29,33,0
400,55,kobieta,12,1350,0,17,24,1
200,65,kobieta,13,1013.74,0,108,48,0
400,73,kobieta,13,1412,0,199,48,0
200,53,kobieta,99,1100,0,46,48,0
600,32,mężczyzna,12,1655.76,0,52,48,3
500,60,kobieta,13,1000,0,62,48,1
326.61,54,mężczyzna,99,2063.38,0,192,48,0
700,27,kobieta,11,1300,0,4,48,0
300,73,kobieta,13,951,0,157,48,0
500,53,kobieta,12,2000,0,4,25,0
600,68,kobieta,13,2120,0,113,48,0
500,63,mężczyzna,13,1768.93,0,264,48,0
400,47,kobieta,11,3170,0,280,48,2
650,60,kobieta,13,1100,0,16,48,1
600,53,kobieta,12,1500,0,4,4,1
450,72,kobieta,13,640,0,133,48,2
300,41,mężczyzna,12,850,0,39,48,1772
