@relation 12168104L2_2-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F2-S4-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F3-S4-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F1-S3

@attribute status_pozyczki {zly,dobry}
@attribute kwota_kredytu numeric
@attribute wiek numeric
@attribute płeć {kobieta,mężczyzna}
@attribute rodzaj_źródła_dochodu numeric
@attribute miesieczny_dochod_netto numeric
@attribute ktore_rolowanie numeric
@attribute okres_w_jakim_pobierał_dochód numeric
@attribute okres_w_jakim_będzie_pobierał_dochód numeric
@attribute opóźnienie_spłaty numeric

@data
dobry,200,65,kobieta,13,670,0,60,48,0
dobry,300,60,mężczyzna,12,1000,0,6,10,0
dobry,400,29,mężczyzna,12,1300,0,21,41,0
dobry,400,42,mężczyzna,11,3500,0,22,48,3
dobry,200,54,mężczyzna,17,798.8,0,143,48,0
zly,600,48,mężczyzna,99,1500,0,30,30,0
dobry,526.11,28,kobieta,99,468,0,5,10,2
dobry,200,60,kobieta,16,684.64,0,335,48,0
dobry,600,51,mężczyzna,12,2673.17,0,106,48,0
zly,1000,75,kobieta,13,1400,0,228,48,0
dobry,1800,48,mężczyzna,11,2353,0,93,48,10
dobry,300,33,mężczyzna,11,2100,0,58,48,4
dobry,300,59,mężczyzna,16,726,0,227,48,2
dobry,300,28,kobieta,98,1000,0,7,48,299
dobry,500,43,kobieta,11,1443,0,27,48,0
dobry,600,51,kobieta,11,3200,0,48,48,9
dobry,600,58,kobieta,11,1400,0,157,48,5
dobry,200,47,mężczyzna,12,600,0,3,27,0
dobry,200,31,kobieta,12,980,0,4,5,1
zly,300,32,mężczyzna,11,1040,0,48,48,326
dobry,500,54,mężczyzna,11,1552.16,0,92,48,0
dobry,500,49,kobieta,11,2470,0,348,48,0
dobry,600,61,mężczyzna,13,1500,0,17,48,0
dobry,300,52,mężczyzna,12,1000,0,3,5,0
dobry,200,65,kobieta,16,892,0,195,48,1
dobry,800,74,mężczyzna,13,2712,0,337,48,0
dobry,400,38,kobieta,11,1998.9,0,225,48,0
dobry,800,59,kobieta,13,1370,0,70,48,14
zly,300,59,kobieta,13,1525.81,0,71,48,0
zly,500,27,mężczyzna,12,1030,0,0,8,0
zly,500,45,kobieta,12,1010,0,3,11,0
dobry,500,46,mężczyzna,12,2500,0,2,3,0
dobry,200,62,mężczyzna,13,1420.41,0,18,48,0
zly,800,24,mężczyzna,11,1466,0,3,48,0
zly,800,56,mężczyzna,98,2200,0,27,48,0
dobry,300,30,mężczyzna,11,1000,0,51,48,1
zly,200,33,mężczyzna,12,796.6,0,29,36,0
dobry,300,31,kobieta,12,2000,0,14,21,0
dobry,600,54,kobieta,12,1675,0,3,11,10
dobry,200,35,kobieta,12,1200,0,3,14,0
dobry,800,38,mężczyzna,11,2150,0,48,48,211
dobry,350,68,mężczyzna,13,1162.41,0,98,48,0
dobry,200,61,kobieta,13,634.64,0,6,48,0
dobry,300,60,kobieta,13,1026,0,49,48,0
dobry,300,59,kobieta,13,1400,0,240,48,0
zly,500,43,kobieta,12,1030,0,2,5,0
dobry,300,27,kobieta,11,1500,0,18,48,8
dobry,310,21,mężczyzna,12,952.89,0,16,26,0
zly,200,76,kobieta,13,1741.71,0,239,48,0
dobry,200,40,kobieta,17,485,0,121,48,292
dobry,300,54,kobieta,11,1721.7,0,114,48,0
dobry,400,71,kobieta,13,1721,0,191,48,0
dobry,1000,43,mężczyzna,13,4413,0,85,48,433
dobry,400,61,kobieta,13,2066,0,123,48,0
dobry,300,73,mężczyzna,13,960,0,134,48,0
zly,200,67,kobieta,13,747.54,0,143,48,0
zly,200,72,mężczyzna,13,745,0,143,48,0
zly,200,66,kobieta,13,617.79,0,71,48,0
dobry,250,69,kobieta,13,1800,0,111,48,0
dobry,700,56,kobieta,13,580,0,113,48,0
zly,200,58,kobieta,13,887.35,0,84,48,0
dobry,400,29,mężczyzna,12,2050,0,54,48,0
dobry,600,47,kobieta,98,2200,0,19,48,0
dobry,500,42,mężczyzna,11,2100,0,278,48,14
dobry,500,63,mężczyzna,11,1660,0,44,48,0
dobry,500,80,kobieta,13,2000,0,229,48,0
zly,300,64,kobieta,13,880,0,37,48,390
zly,500,56,mężczyzna,12,1410,0,9,34,451
dobry,400,26,mężczyzna,11,2500,0,27,48,1
dobry,1000,61,kobieta,13,1820,0,63,48,0
dobry,1162.3,52,kobieta,11,1638,0,308,48,11
dobry,700,58,kobieta,13,1801.41,0,31,48,4
zly,200,70,mężczyzna,13,720.31,0,59,48,0
dobry,1000,73,kobieta,13,2100,0,49,48,0
dobry,600,77,mężczyzna,13,2609,0,185,48,0
dobry,817.84,63,kobieta,13,860,0,74,48,2
dobry,200,51,mężczyzna,12,1030,0,3,48,2
